"lrn_type","avg_success_rate","institution_id","class_id","item_id","item_type","chapter","page","dcl_pre_exercise_code","dcl_sample_code","dcl_solution","dcl_sct","dcl_hint","lrn_activity_reference","lrn_question_reference","lrn_question_position","lrn_template_name","chapter_number","section_number","review_flag","avg_points_earned","completion_rate","avg_attempt"
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","Ch4_Sources_1","learnosity","Chapter 4 - Explaining Variation","4.7 Sources of Variation",NA,NA,NA,NA,NA,NA,"17c419e9-fc5b-4ea7-99bf-81b09951b194",1,"Match list",4,7,FALSE,0.825136612021858,1,1
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","Ch4_Research_5","learnosity","Chapter 4 - Explaining Variation","4.11 Research Design",NA,NA,NA,NA,NA,NA,"1fa49bf5-7174-4e7d-b060-d04fab05e8cd",1,"Match list",4,11,FALSE,0.87719298245614,0,1
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","Ch5_Notation_2","learnosity","Chapter 5 - A Simple Model","5.9 DATA = MODEL + ERROR: Notation",NA,NA,NA,NA,NA,NA,"ec6de1e5-7326-4273-8b3c-8a74711ae7df",1,"Match list",5,9,FALSE,0.846994535519126,0,1
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","b2_Quantifying_5","learnosity","Chapter 6 - Quantifying Error","6.1 Quantifying Total Error Around a Model",NA,NA,NA,NA,NA,NA,"34fb0849-7e04-4d9e-b124-0d908a0096e4",1,"Match list",6,1,FALSE,0.7975,0.755,1
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","Ch6_Sum_9","learnosity","Chapter 6 - Quantifying Error","6.3 Variance",NA,NA,NA,NA,NA,NA,"7ec0f77a-8bdf-4b2f-87b4-46107f9763ec",1,"Match list",6,3,FALSE,0.467005076142132,0.0101522842639594,1
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","Ch6_Thinking_2","learnosity","Chapter 6 - Quantifying Error","6.4 Standard Deviation",NA,NA,NA,NA,NA,NA,"e9533d31-c763-4285-8791-9dd555266b6a",1,"Match list",6,4,FALSE,0.5,0.0408163265306122,1
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","b3_RtoFit_04","learnosity","Chapter 7 - Adding an Explanatory Variable to the Model","7.2 Using R to Fit the Group Model",NA,NA,NA,NA,NA,NA,"11344f6e-72c8-476b-8d17-ea91037a44f8",1,"Match list",7,2,FALSE,0.850961538461538,0.846153846153846,1
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","b3_GLM_01","learnosity","Chapter 7 - Adding an Explanatory Variable to the Model","7.3 GLM Notation for the Group Model",NA,NA,NA,NA,NA,NA,"4b769ba3-bb8f-4933-957f-a37b97b015f7",2,"Match list",7,3,FALSE,0.454545454545455,0.00956937799043062,1
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","Ch7_Extending_1","learnosity","Chapter 8 - Digging Deeper into Group Models","8.1 Extending to a Three-Group Model",NA,NA,NA,NA,NA,NA,"c7a74406-309a-4089-a595-2deed67890db",1,"Match list",8,1,FALSE,0.671497584541063,0.0144927536231884,1
"association",0.661120215383773,"292cff87-3c74-4e94-8622-233afb0427dd","074123e7-cd90-4500-86fe-286aaa733bf5","Ch7_Extending_2","learnosity","Chapter 8 - Digging Deeper into Group Models","8.1 Extending to a Three-Group Model",NA,NA,NA,NA,NA,NA,"8c48e0e2-9db0-4aa3-b989-b7fa088d7800",1,"Match list",8,1,FALSE,0.581320450885668,0.00966183574879227,1
